,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.062,0.062,1.000,0.062,0.062,0.812
RandomForest,0.062,0.000,0.062,0.062,0.062,0.062,0.062
NaiveForecast,0.062,0.062,0.000,0.062,0.062,0.062,0.062
LinearRegr,1.000,0.062,0.062,0.000,0.062,0.062,0.625
KNN,0.062,0.062,0.062,0.062,0.000,0.125,0.062
DecisionTree,0.062,0.062,0.062,0.062,0.125,0.000,0.062
GRU,0.812,0.062,0.062,0.625,0.062,0.062,0.000
