,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.062,0.062,0.812,0.062,0.062,0.125
RandomForest,0.062,0.000,0.062,0.062,0.062,0.062,0.125
NaiveForecast,0.062,0.062,0.000,0.062,0.062,0.062,0.062
LinearRegr,1.000,0.062,0.062,0.000,0.062,0.062,0.713
KNN,0.062,0.062,0.062,0.062,0.000,0.125,0.062
DecisionTree,0.062,0.062,0.062,0.062,0.125,0.000,0.062
GRU,0.188,0.125,0.062,0.713,0.062,0.062,0.000
