,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.812,0.312,0.312,0.625,0.625,0.812
RandomForest,0.812,0.000,1.000,1.000,0.312,0.062,0.625
NaiveForecast,0.312,1.000,0.000,1.000,0.438,0.312,0.188
LinearRegr,0.312,1.000,1.000,0.000,0.625,0.312,0.062
KNN,0.625,0.312,0.438,0.625,0.000,0.625,0.812
DecisionTree,0.625,0.062,0.188,0.312,0.625,0.000,0.812
GRU,0.812,0.625,0.188,0.062,0.812,0.812,0.000
