,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.443,0.111,0.916,0.018,0.034,0.788
RandomForest,0.443,0.000,0.379,0.458,0.041,0.098,0.624
NaiveForecast,0.111,0.379,0.000,0.093,0.085,0.254,0.186
LinearRegr,0.916,0.458,0.093,0.000,0.017,0.029,0.848
KNN,0.018,0.041,0.085,0.017,0.000,0.367,0.025
DecisionTree,0.034,0.098,0.254,0.029,0.367,0.000,0.054
GRU,0.788,0.624,0.186,0.848,0.025,0.054,0.000
