,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.821,0.281,0.268,0.408,0.457,0.802
RandomForest,0.821,0.000,0.612,0.619,0.379,0.417,0.682
NaiveForecast,0.281,0.612,0.000,0.958,0.280,0.237,0.191
LinearRegr,0.268,0.619,0.958,0.000,0.282,0.238,0.178
KNN,0.408,0.379,0.280,0.282,0.000,0.730,0.448
DecisionTree,0.457,0.417,0.237,0.238,0.730,0.000,0.531
GRU,0.802,0.682,0.191,0.178,0.448,0.531,0.000
