,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
SVR,0.000,0.093,0.014,0.824,0.000,0.001,0.628
RandomForest,0.093,0.000,0.130,0.199,0.001,0.004,0.306
NaiveForecast,0.014,0.130,0.000,0.032,0.009,0.070,0.048
LinearRegr,0.824,0.199,0.032,0.000,0.001,0.002,0.809
KNN,0.000,0.001,0.009,0.001,0.000,0.117,0.001
DecisionTree,0.001,0.004,0.070,0.002,0.117,0.000,0.003
GRU,0.628,0.306,0.048,0.809,0.001,0.003,0.000
