,CV1,CV2,CV3,CV4,CV5
MSE,6.361,5.850,4.864,5.066,4.765
RMSE,2.522,2.419,2.206,2.251,2.183
MAE,1.937,1.904,1.688,1.766,1.741
MAPE,0.753,1.516,1.112,1.083,0.563
R2,0.906,0.902,0.914,0.905,0.903
