,CV1,CV2,CV3,CV4,CV5
SVR,5.883,5.750,4.495,4.562,4.393
RandomForest,6.361,5.850,4.864,5.066,4.765
NaiveForecast,6.488,6.114,5.168,5.563,5.405
LinearRegr,5.700,5.702,4.434,4.747,4.729
KNN,8.607,8.096,5.969,6.164,6.004
DecisionTree,7.371,6.996,5.557,6.208,5.408
GRU,5.944,5.957,4.432,4.897,4.508
