,CV1,CV2,CV3,CV4,CV5
SVR,0.971,1.129,1.409,0.892,0.851
RandomForest,0.753,1.516,1.112,1.083,0.563
NaiveForecast,0.852,0.842,1.118,0.769,0.984
LinearRegr,0.961,0.779,1.019,0.993,0.834
KNN,1.008,3.260,1.913,0.674,0.618
DecisionTree,0.855,2.400,1.245,1.087,0.857
GRU,0.964,0.987,1.458,1.177,0.856
