,CV1,CV2,CV3,CV4,CV5
SVR,2.425,2.398,2.120,2.136,2.096
RandomForest,2.522,2.419,2.206,2.251,2.183
NaiveForecast,2.547,2.473,2.273,2.359,2.325
LinearRegr,2.387,2.388,2.106,2.179,2.175
KNN,2.934,2.845,2.443,2.483,2.450
DecisionTree,2.715,2.645,2.357,2.492,2.326
GRU,2.438,2.441,2.105,2.213,2.123
