,CV1,CV2,CV3,CV4,CV5
SVR,1.889,1.876,1.635,1.678,1.632
RandomForest,1.937,1.904,1.688,1.766,1.741
NaiveForecast,1.962,1.934,1.719,1.880,1.785
LinearRegr,1.854,1.891,1.612,1.691,1.677
KNN,2.329,2.249,1.851,1.995,1.934
DecisionTree,2.151,2.095,1.839,2.001,1.855
GRU,1.888,1.902,1.631,1.711,1.630
