,SVR,RandomForest,NaiveForecast,LinearRegr,KNN,DecisionTree,GRU
MSE,4.490,5.110,5.559,4.774,6.052,5.893,4.794
RMSE,2.119,2.261,2.358,2.185,2.460,2.428,2.189
MAE,1.651,1.777,1.839,1.689,1.955,1.933,1.715
MAPE,0.971,0.910,0.959,1.013,0.732,1.340,0.927
R2,0.913,0.902,0.893,0.908,0.883,0.886,0.908
