     Risultato medio     Std  min_samples_split  min_samples_leaf  max_depth       criterion
108           0.8695  0.0238               18.0               5.0       20.0  absolute_error
109           0.8694  0.0261               12.0               7.0       20.0  absolute_error
110           0.8693  0.0214               13.0               7.0        NaN   squared_error
111           0.8693  0.0222                6.0               7.0        NaN   squared_error
112           0.8690  0.0216                3.0               7.0       30.0   squared_error
113           0.8689  0.0259               12.0               7.0        NaN  absolute_error
114           0.8680  0.0247               17.0               6.0       30.0   squared_error
115           0.8676  0.0239               14.0               6.0       50.0  absolute_error
116           0.8675  0.0282               20.0               5.0       50.0   squared_error
117           0.8675  0.0235               14.0               6.0       20.0  absolute_error
118           0.8674  0.0267               15.0               2.0       10.0   squared_error
119           0.8671  0.0226               11.0               6.0       50.0  absolute_error
120           0.8666  0.0275               19.0               4.0       50.0   squared_error
121           0.8624  0.0205                8.0               4.0       10.0  absolute_error
122           0.8615  0.0282                9.0               6.0       50.0   squared_error
123           0.8614  0.0292               15.0               3.0       30.0   squared_error
124           0.8606  0.0235                7.0               4.0       20.0  absolute_error
125           0.8606  0.0243               13.0               5.0       10.0  absolute_error
126           0.8604  0.0261                7.0               5.0        NaN   squared_error
127           0.8603  0.0233               11.0               5.0        NaN  absolute_error
128           0.8602  0.0266                2.0               5.0       20.0   squared_error
129           0.8593  0.0223               10.0               5.0        NaN  absolute_error
130           0.8590  0.0235               11.0               4.0        NaN  absolute_error
131           0.8572  0.0284                3.0               5.0        NaN   squared_error
132           0.8554  0.0252                6.0               5.0        NaN  absolute_error
133           0.8547  0.0264               16.0               2.0       30.0  absolute_error
134           0.8544  0.0220               10.0               3.0       10.0  absolute_error
135           0.8527  0.0377               15.0               1.0        NaN   squared_error
136           0.8511  0.0272               12.0               3.0        NaN  absolute_error
137           0.8506  0.0329               10.0               2.0       20.0   squared_error
138           0.8504  0.0266               12.0               2.0        NaN  absolute_error
139           0.8452  0.0380               11.0               1.0       50.0   squared_error
140           0.8440  0.0386               10.0               1.0       50.0   squared_error
141           0.8439  0.0323               16.0               1.0        NaN  absolute_error
142           0.8428  0.0338                7.0               3.0       50.0   squared_error
143           0.8427  0.0305               15.0               1.0       50.0  absolute_error
144           0.8404  0.0293                3.0               3.0       10.0  absolute_error
145           0.8391  0.0348                3.0               3.0       50.0   squared_error
146           0.8354  0.0357                3.0               3.0       20.0  absolute_error
147           0.8330  0.0279               12.0               1.0        NaN  absolute_error
148           0.8228  0.0422                3.0               1.0        NaN   squared_error
149           0.8214  0.0284                8.0               1.0        NaN  absolute_error
150           0.8206  0.0275                9.0               1.0        NaN  absolute_error
