,CV1,CV2,CV3,CV4,CV5
MSE,8.607,8.096,5.969,6.164,6.004
RMSE,2.934,2.845,2.443,2.483,2.450
MAE,2.329,2.249,1.851,1.995,1.934
MAPE,1.008,3.260,1.913,0.674,0.618
R2,0.873,0.865,0.895,0.884,0.878
