,CV1,CV2,CV3,CV4,CV5
MSE,5.700,5.702,4.434,4.747,4.729
RMSE,2.387,2.388,2.106,2.179,2.175
MAE,1.854,1.891,1.612,1.691,1.677
MAPE,0.961,0.779,1.019,0.993,0.834
R2,0.916,0.905,0.922,0.911,0.904
